sample_id,group,time_point,sample_type
LB01,CLP,0h,Lymph
LB02,CLP,0h,Lymph
LB03,CLP,0h,Lymph
LB04,CLP,0h,Lymph
LB05,CLP,0h,Lymph
LB06,CLP,4h,Lymph
LB07,CLP,4h,Lymph
LB08,CLP,4h,Lymph
LB09,CLP,4h,Lymph
LB10,CLP,4h,Lymph
LB11,CLP,8h,Lymph
LB12,CLP,8h,Lymph
LB13,CLP,8h,Lymph
LB14,CLP,8h,Lymph
LB15,CLP,8h,Lymph
LB16,CLP,12h,Lymph
LB17,CLP,12h,Lymph
LB18,CLP,12h,Lymph
LB19,CLP,12h,Lymph
LB20,CLP,12h,Lymph
LB21,CLP,24h,Lymph
LB22,CLP,24h,Lymph
LB23,CLP,24h,Lymph
LB24,CLP,24h,Lymph
LB25,CLP,24h,Lymph
FB01,CLP,0h,Fecal
FB02,CLP,0h,Fecal
FB03,CLP,0h,Fecal
FB04,CLP,0h,Fecal
FB05,CLP,0h,Fecal
FB06,CLP,4h,Fecal
FB07,CLP,4h,Fecal
FB08,CLP,4h,Fecal
FB09,CLP,4h,Fecal
FB10,CLP,4h,Fecal
FB11,CLP,8h,Fecal
FB12,CLP,8h,Fecal
FB13,CLP,8h,Fecal
FB14,CLP,8h,Fecal
FB15,CLP,8h,Fecal
FB16,CLP,12h,Fecal
FB17,CLP,12h,Fecal
FB18,CLP,12h,Fecal
FB19,CLP,12h,Fecal
FB20,CLP,12h,Fecal
FB21,CLP,24h,Fecal
FB22,CLP,24h,Fecal
FB23,CLP,24h,Fecal
FB24,CLP,24h,Fecal
FB25,CLP,24h,Fecal
FP01,CLP,0h,BALF
FP02,CLP,0h,BALF
FP03,CLP,4h,BALF
FP04,CLP,4h,BALF
FP05,CLP,8h,BALF
FP06,CLP,8h,BALF
FP07,CLP,12h,BALF
FP08,CLP,12h,BALF
FP09,CLP,24h,BALF
FP10,CLP,24h,BALF
NC01,NegControl,NA,NegControl
NC02,NegControl,NA,NegControl
NC03,NegControl,NA,NegControl
NC04,NegControl,NA,NegControl
NC05,NegControl,NA,NegControl
NC06,NegControl,NA,NegControl
